NumberofTests,OutlierMagnitude,Bias,RMSE,Method,OutlierPosition
5,Outlier=0,-0.002,0.089,OLS,At the end
5,Outlier=50,0.998,1.086,OLS,At the end
5,Outlier=100,1.998,4.082,OLS,At the end
5,Outlier=150,2.998,9.078,OLS,At the end
5,Outlier=200,3.998,16.074,OLS,At the end
6,Outlier=0,-0.001,0.064,OLS,At the end
6,Outlier=50,0.713,0.573,OLS,At the end
6,Outlier=100,1.428,2.102,OLS,At the end
6,Outlier=150,2.142,4.652,OLS,At the end
6,Outlier=200,2.856,8.222,OLS,At the end
7,Outlier=0,0.002,0.046,OLS,At the end
7,Outlier=50,0.537,0.335,OLS,At the end
7,Outlier=100,1.073,1.198,OLS,At the end
7,Outlier=150,1.609,2.635,OLS,At the end
7,Outlier=200,2.145,4.646,OLS,At the end
8,Outlier=0,0.003,0.037,OLS,At the end
8,Outlier=50,0.42,0.213,OLS,At the end
8,Outlier=100,0.837,0.737,OLS,At the end
8,Outlier=150,1.253,1.608,OLS,At the end
8,Outlier=200,1.67,2.826,OLS,At the end
9,Outlier=0,0.001,0.029,OLS,At the end
9,Outlier=50,0.334,0.141,OLS,At the end
9,Outlier=100,0.667,0.475,OLS,At the end
9,Outlier=150,1.001,1.031,OLS,At the end
9,Outlier=200,1.334,1.809,OLS,At the end
10,Outlier=0,0.001,0.025,OLS,At the end
10,Outlier=50,0.274,0.1,OLS,At the end
10,Outlier=100,0.546,0.323,OLS,At the end
10,Outlier=150,0.819,0.696,OLS,At the end
10,Outlier=200,1.092,1.217,OLS,At the end
11,Outlier=0,0.002,0.021,OLS,At the end
11,Outlier=50,0.229,0.074,OLS,At the end
11,Outlier=100,0.456,0.229,OLS,At the end
11,Outlier=150,0.683,0.488,OLS,At the end
11,Outlier=200,0.911,0.851,OLS,At the end
12,Outlier=0,0.001,0.017,OLS,At the end
12,Outlier=50,0.194,0.055,OLS,At the end
12,Outlier=100,0.386,0.166,OLS,At the end
12,Outlier=150,0.578,0.352,OLS,At the end
12,Outlier=200,0.771,0.611,OLS,At the end
5,Outlier=0,-0.001,0.092,Theil-Sen,At the end
5,Outlier=50,0.636,0.575,Theil-Sen,At the end
5,Outlier=100,0.763,0.873,Theil-Sen,At the end
5,Outlier=150,0.779,0.934,Theil-Sen,At the end
5,Outlier=200,0.78,0.942,Theil-Sen,At the end
6,Outlier=0,-0.001,0.066,Theil-Sen,At the end
6,Outlier=50,0.402,0.273,Theil-Sen,At the end
6,Outlier=100,0.434,0.33,Theil-Sen,At the end
6,Outlier=150,0.435,0.332,Theil-Sen,At the end
6,Outlier=200,0.435,0.332,Theil-Sen,At the end
7,Outlier=0,0,0.048,Theil-Sen,At the end
7,Outlier=50,0.294,0.159,Theil-Sen,At the end
7,Outlier=100,0.312,0.182,Theil-Sen,At the end
7,Outlier=150,0.313,0.182,Theil-Sen,At the end
7,Outlier=200,0.313,0.182,Theil-Sen,At the end
8,Outlier=0,0.002,0.037,Theil-Sen,At the end
8,Outlier=50,0.23,0.101,Theil-Sen,At the end
8,Outlier=100,0.246,0.115,Theil-Sen,At the end
8,Outlier=150,0.246,0.115,Theil-Sen,At the end
8,Outlier=200,0.246,0.115,Theil-Sen,At the end
9,Outlier=0,0,0.029,Theil-Sen,At the end
9,Outlier=50,0.184,0.071,Theil-Sen,At the end
9,Outlier=100,0.2,0.082,Theil-Sen,At the end
9,Outlier=150,0.2,0.082,Theil-Sen,At the end
9,Outlier=200,0.2,0.082,Theil-Sen,At the end
10,Outlier=0,0.001,0.024,Theil-Sen,At the end
10,Outlier=50,0.152,0.052,Theil-Sen,At the end
10,Outlier=100,0.166,0.06,Theil-Sen,At the end
10,Outlier=150,0.166,0.06,Theil-Sen,At the end
