SampleSize,TestLength,Parameter,Bias,RMSE
500,10,a,0.375,0.988
500,20,a,0.189,0.603
500,40,a,0.14,0.48
1000,10,a,0.14,0.515
1000,20,a,0.076,0.357
1000,40,a,0.07,0.299
2000,10,a,0.068,0.31
2000,20,a,0.043,0.241
2000,40,a,0.031,0.197
500,10,b,-0.25,0.931
500,20,b,-0.139,0.658
500,40,b,-0.109,0.555
1000,10,b,-0.091,0.589
1000,20,b,-0.046,0.428
1000,40,b,-0.063,0.384
2000,10,b,-0.033,0.376
2000,20,b,-0.031,0.302
2000,40,b,-0.02,0.264
500,10,c,-0.004,0.16
500,20,c,-0.003,0.144
500,40,c,-0.001,0.132
1000,10,c,-0.012,0.134
1000,20,c,-0.004,0.122
1000,40,c,0.001,0.109
2000,10,c,-0.01,0.112
2000,20,c,-0.006,0.092
2000,40,c,-0.004,0.085
